z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.02103515625,1.877619857634077,0.0,827.3084204311822,0.5182861706422652,0.06766072959070496,0.0015495940658842456,0.0003152607259718294,0.12995730440468292,0.0005450517444253363,0.04933495819366833,0.00014514592518573803,3.6154619039133125e-05,0.7504558007304375
0.021041015625,1.9247369016667641,0.0,848.5657741740318,0.5055986889343697,0.0656989274509859,0.0017191801771990491,0.00036744642958057685,0.12883743547429533,0.0005708615238902474,0.05181132362114387,0.00013914407765396394,3.3592324392641566e-05,0.7508220889208584
0.021046875,1.971485079455876,0.0,869.6557062948821,0.4936098671929796,0.06374524348926812,0.0018962579789434447,0.0004261301920778334,0.12768295056651618,0.0005990060489959527,0.05431686613802794,0.0001334732376289213,3.109400768402651e-05,0.7511689783408576
0.021052734375,2.017807896489049,0.0,890.5512116668195,0.4822780758740511,0.061800992480828855,0.0020802328039580377,0.0004916216011009367,0.12649444068867882,0.000630043848170923,0.056848753167994585,0.00012812092353483063,2.8680974620603653e-05,0.7514971135111123
0.02105859375,2.06365446963475,0.0,911.2278484790489,0.47156369167513706,0.05986760178653959,0.0022704487877935543,0.0005641535674015997,0.12527271838437118,0.0006645013143147102,0.05940396807785927,0.00012307186913699777,2.6371194597967052e-05,0.7518071650179852
0.021064453125,2.10897878541799,0.0,931.6634439073263,0.46142926002527196,0.05794663122862109,0.0024661887088925105,0.0006438729921316293,0.1240188681363917,0.0007028620292225985,0.061979258865205285,0.00011830928741869283,2.4179249862250207e-05,0.7520998295022542
0.0210703125,2.153739038970992,0.0,951.83783221592,0.4518395657800586,0.05603978650053986,0.0026666748776499136,0.0007308340376496309,0.12273428719575663,0.0007455575755032356,0.06457109905090015,0.00011381578083530411,2.211635835432708e-05,0.752375828622811
0.021076171875,2.197897059927867,0.0,971.732627507268,0.442761635463578,0.05414892548259889,0.0028710714473621697,0.0008249941522027155,0.12142071524736346,0.0007929597706093657,0.06717566242348333,0.00010957399392998027,2.0190467742008386e-05,0.7526359070147081
0.02108203125,2.2414178275879157,0.0,991.3310316576349,0.43416468971900535,0.05227605715072693,0.0030784884067831036,0.0009262128560105217,0.12008025187697452,0.0008453743125542788,0.06978881257081782,0.00010556709150310181,1.840641589516539e-05,0.7528808293187345
0.021087890625,2.2842681045455175,0.0,1010.6172512352938,0.42602024007499506,0.050423332716586666,0.0032879874390785084,0.0010342531924015456,0.11871536107424482,0.0009030358550816517,0.0724061080212181,0.00010177914896745277,1.6766150229477135e-05,0.7531113764021916
0.021093749999999998,2.326399927209342,0.0,1029.5691944647626,0.4183048668354978,0.04859302531995083,0.003498590172971987,0.0011487859511941636,0.11732885957050555,0.0009661046657088576,0.07502282898755569,9.819550095822276e-05,1.5268992924840398e-05,0.75332834083823
0.021099609374999995,2.3677843744132234,0.0,1048.1734230519967,0.41099366290769374,0.046787507870296875,0.0037092879578384925,0.0012693971313219611,0.11592389549226302,0.0010346655016071332,0.07763401057923415,9.48020641986508e-05,1.3911938605097748e-05,0.7535325214646346
0.021105468749999995,2.4083950402845886,0.0,1066.417845115237,0.4040634175940675,0.045009230103920855,0.003919052037751216,0.0013955960796587074,0.11450391959231464,0.0011087281736259069,0.0802344803254809,9.158560207496193e-05,1.268999158501801e-05,0.7537247180935878
0.021111328124999995,2.448207978536524,0.0,1084.2916875518029,0.3974924902942245,0.04326068673914121,0.00412684535839848,0.001526825368307783,0.11307264362297455,0.0011882301963756317,0.08281891227474462,8.853379857763413e-05,1.159651463915409e-05,0.7539057261268409
0.021117187499999995,2.4872016763842986,0.0,1101.7854766860771,0.391260688144738,0.04154438246629795,0.004331635106357602,0.0016624718061613666,0.11163399072426826,0.0012730414149795496,0.08538188850245218,8.563519352523633e-05,1.0623582676717927e-05,0.7540763312032811
0.021128906249999996,2.5627002390011615,0.0,1135.6189517223752,0.3797338948803369,0.03821483740058549,0.004729291672593404,0.0019450394145068327,0.10874632056470239,0.0014579762841174537,0.09042854635726034,8.02620236288937e-05,9.010868322617504e-06,0.7543887154142825
0.021140624999999996,2.6348299357264446,0.0,1167.8966107863257,0.3693384662074553,0.035041632180449846,0.005103279260602944,0.002236873570445504,0.10587794357601969,0.001660751365895377,0.09532877479820083,7.538438509716868e-05,7.756066270848132e-06,0.7546676047970178
0.021152343749999997,2.703518045403425,0.0,1198.5925108045942,0.359954673340081,0.032041403006855866,0.005446815469666968,0.0025322865898503326,0.10306101387133867,0.0018783970755482482,0.100043991645382,7.094723421292768e-05,6.784179483194096e-06,0.7549183609276618
0.021164062499999997,2.768733056809834,0.0,1227.7006936357132,0.3514762343907335,0.029227636664147287,0.005754331103313106,0.0028256930452077284,0.100325599594267,0.0021074331527399545,0.10454051332690394,6.690329809375517e-05,6.0261519247068775e-06,0.7551458636634025
0.021175781249999998,2.830482984623837,0.0,1255.233706258181,0.34380838746600234,0.02661000289272756,0.0060216809475521415,0.0031118853275485226,0.09769824499214823,0.0023441367284385973,0.10879096679541188,6.321284176717558e-05,5.42357353644614e-06,0.7553544459008694
0.021187499999999998,2.888812479988018,0.0,1281.2206360760708,0.3368663519017374,0.024194011635893083,0.006246238480599379,0.0033862408060176753,0.09520094819011467,0.002584781619399414,0.11277514298932041,5.984203605862035e-05,4.9308672167918676e-06,0.75554786337538
0.02119921875,2.943798787945105,0.0,1305.704738247286,0.33057410905315104,0.02198099384398947,0.006426876893372629,0.0036448591568536124,0.09285059158159698,0.0028258337198560158,0.11648027311764031,5.6761445298678154e-05,4.515175413158634e-06,0.7557292950659791
0.0212109375,2.9955468130682705,0.0,1328.740801705574,0.3248634294977256,0.01996836383224924,0.00656385300767344,0.0038846347466653117,0.09065880044666398,0.0030640949828656897,0.11990078554192345,5.3944906784439776e-05,4.154554824252504e-06,0.7559013679803501
0.02122265625,3.0441836552161914,0.0,1350.3924237195192,0.31967308130055855,0.018150095561750755,0.0066586194640646515,0.0041032729821877546,0.08863216174261038,0.0032967954950698826,0.12303765110368282,5.1368772380228094e-05,3.835310973331001e-06,0.7560661995672803
0.021234375,3.0898529957617495,0.0,1370.729353805019,0.3149481663982716,0.016517335040155918,0.006713593718397232,0.004299261548861786,0.08677271155189224,0.003521638580233004,0.12589744754004467,4.90114153577873e-05,3.5492664337592724e-06,0.7562254513386237
0.02124609375,3.132709675443961,0.0,1389.8250388643362,0.3106395452937704,0.015059073741421285,0.006731910910258586,0.004471807905945091,0.08507859437018767,0.003736807178166123,0.12849127334453198,4.685291321140022e-05,3.29150297266494e-06,0.7563803881333052
0.0212578125,3.1729147318228126,0.0,1407.754463060998,0.30670332215900553,0.01376281941939281,0.00671718309687065,0.004620753753751535,0.08354480563516575,0.003940940967163191,0.13083362493773318,4.48748460433411e-05,3.0587923776705926e-06,0.7565319385515018
0.02126953125,3.2106310777082476,0.0,1424.5923364310293,0.3031003722178512,0.012615216629286403,0.0066732812971723315,0.004746475822716295,0.08216394528092634,0.004133093208321713,0.13294132567994474,4.30601739632544e-05,2.8486718767180256e-06,0.7566807532357923
0.021281249999999998,3.2460199184638894,0.0,1440.4116516098795,0.29979590059846994,0.011602586052421177,0.00660415061079903,0.004849780517858927,0.0809269299227153,0.004312674551422139,0.1348325674363484,4.139316556793536e-05,2.6589900281289228e-06,0.756827258752839
0.021292968749999995,3.279237937757761,0.0,1455.2826023885505,0.2967590266856974,0.01071136682278876,0.006513663299741122,0.004931797824000814,0.07982363113505216,0.0044793883842963724,0.1365260997030687,3.985933212403786e-05,2.4877311903642265e-06,0.7569717057677378
0.021304687499999996,3.310435236928873,0.0,1469.2718439961097,0.29396239041424316,0.009928458085167976,0.006405510672394458,0.004993877447143228,0.07884342534708912,0.004633158785279536,0.13804058050719595,3.844521187052775e-05,2.3329677316469924e-06,0.7571142109761274
